gbpaud,gbpdkk,gbpsek
1.8278,8.5029,11.8493
1.8276,8.5024,11.8468
1.8274,8.5058,11.8516
1.8271,8.5042,11.85
1.8278,8.5067,11.8514
1.8282,8.5093,11.8568
1.8285,8.5106,11.8584
1.8287,8.514,11.8612
1.8281,8.5167,11.8644
1.8283,8.5167,11.8652
1.8282,8.5169,11.8655
1.829,8.5135,11.8606
1.829,8.5148,11.8622
1.8295,8.5138,11.8639
1.8288,8.5163,11.8696
1.8289,8.5144,11.8649
1.8299,8.5183,11.8688
1.8289,8.523,11.8761
1.8284,8.5209,11.8694
1.8285,8.5205,11.8682
1.8287,8.5208,11.8682
1.828,8.5209,11.8728
1.8279,8.5197,11.8699
1.8277,8.5149,11.8635
1.8277,8.5123,11.8581
1.8274,8.5113,11.8574
1.8271,8.5114,11.8581
1.8269,8.5077,11.8556
1.8266,8.507,11.8517
1.8264,8.5063,11.8471
1.8256,8.5049,11.8475
1.8256,8.5013,11.8434
1.8247,8.502,11.8461
1.8252,8.5021,11.8433
1.8255,8.5028,11.8417
1.8249,8.5032,11.8419
1.8252,8.5019,11.8396
1.8245,8.5031,11.8422
1.8252,8.4979,11.8373
1.8258,8.4976,11.8372
1.8259,8.4974,11.8336
1.8267,8.4975,11.8352
1.8267,8.499,11.8399
1.828,8.5006,11.8498
1.827,8.5091,11.8584
1.8268,8.5039,11.8545
1.8274,8.5023,11.8473
1.8282,8.5028,11.8435
1.8296,8.5055,11.8471
1.8298,8.509,11.8503
1.8301,8.5076,11.8524
1.8296,8.5079,11.8564
1.8295,8.5054,11.853
1.8294,8.5084,11.8543
1.8294,8.5079,11.855
1.8289,8.5051,11.8464
1.8299,8.5043,11.8486
1.8303,8.5091,11.8579
1.8311,8.5114,11.8628
1.8303,8.5148,11.8641
1.8302,8.5106,11.858
1.831,8.5078,11.8534
1.831,8.5112,11.8604
1.8314,8.5112,11.8576
1.8308,8.5108,11.8546
1.8308,8.5093,11.8528
1.8304,8.5091,11.8527
1.8303,8.5104,11.8653
1.8272,8.5105,11.8487
1.8276,8.504,11.8456
1.8282,8.5065,11.8479
1.8284,8.509,11.851
1.8281,8.5101,11.8527
1.8281,8.5105,11.8559
1.8275,8.5112,11.8553
1.8284,8.5097,11.8528
1.8289,8.5075,11.8496
1.8289,8.5101,11.8537
1.8286,8.5081,11.8509
1.8292,8.5077,11.8491
1.8296,8.5061,11.8515
1.8295,8.5084,11.8553
1.8295,8.5078,11.8548
1.8294,8.5061,11.8535
1.8296,8.5052,11.8487
1.8298,8.5047,11.8497
1.8306,8.5049,11.8488
1.8304,8.507,11.857
1.8303,8.5084,11.8559
1.8296,8.5078,11.8553
1.8296,8.5041,11.8515
1.8298,8.5021,11.8531
1.8295,8.5017,11.8519
1.8288,8.5002,11.8503
1.8283,8.498,11.8465
1.8278,8.4974,11.8405
1.8279,8.4965,11.8393
1.8282,8.4958,11.8341
1.8281,8.4976,11.836
1.8279,8.4976,11.8374
1.8277,8.499,11.8393
1.8277,8.4993,11.8386
1.8287,8.4993,11.8395
1.8291,8.5029,11.8439
1.829,8.5045,11.85
1.8287,8.5051,11.8515
1.8293,8.505,11.849
1.8291,8.5063,11.8537
1.8288,8.5062,11.8502
1.8288,8.5041,11.8468
1.8289,8.5031,11.845
1.829,8.5028,11.8466
1.8289,8.5027,11.8481
1.8284,8.5017,11.8468
1.8286,8.5002,11.8463
1.8283,8.4994,11.8466
1.8285,8.5006,11.8458
1.829,8.5014,11.8471
1.8289,8.5008,11.8486
1.8288,8.4999,11.8473
1.8285,8.4996,11.8466
1.8277,8.4978,11.8442
1.8276,8.496,11.8415
1.8276,8.4953,11.8423
1.8278,8.496,11.8454
1.8276,8.4977,11.8459
1.8275,8.4974,11.8423
1.8272,8.4973,11.8466
1.8276,8.4956,11.8439
1.8277,8.4971,11.8379
1.828,8.497,11.8359
1.8278,8.4974,11.836
1.8271,8.4971,11.8355
1.8271,8.4924,11.8297
1.8264,8.4921,11.8302
1.8265,8.4892,11.8248
1.8268,8.4893,11.8254
1.8269,8.4905,11.8293
1.8262,8.4904,11.8325
1.8258,8.4895,11.8309
1.8258,8.4864,11.822
1.8258,8.4864,11.822
1.8258,8.4864,11.822
1.8258,8.4864,11.822
1.8258,8.4864,11.822
1.8258,8.4864,11.822
1.8258,8.4864,11.822
1.8258,8.4864,11.822
1.8242,8.4864,11.822
1.8248,8.4864,11.8165
1.825,8.4877,11.8175
1.8252,8.4896,11.8263
1.825,8.4866,11.8131
1.825,8.4867,11.8131
1.8245,8.4887,11.8197
1.8249,8.4888,11.8187
1.8251,8.4877,11.8271
1.8252,8.4874,11.8243
1.8256,8.4873,11.8242
1.8262,8.4873,11.8245
1.8253,8.4833,11.8242
1.8255,8.4857,11.8272
1.8263,8.484,11.8283
1.826,8.4838,11.8286
1.8263,8.4873,11.8299
1.8263,8.4874,11.8309
1.8258,8.4882,11.8317
1.8257,8.4886,11.8327
1.8261,8.4896,11.8345
1.8262,8.4895,11.8365
1.8263,8.4901,11.8354
1.8261,8.4907,11.8361
1.8262,8.4911,11.8358
1.8263,8.4924,11.8339
1.8266,8.4915,11.8332
1.8266,8.492,11.8328
1.8264,8.4918,11.8327
1.8265,8.4915,11.8329
1.8264,8.4911,11.8327
1.8262,8.4909,11.833
1.8269,8.4923,11.8338
1.8272,8.4923,11.8376
1.8278,8.4928,11.8385
1.8281,8.493,11.8401
1.828,8.494,11.8433
1.828,8.4965,11.843
1.8276,8.4976,11.8468
1.8279,8.4984,11.8464
1.8281,8.4979,11.8477
1.8278,8.4992,11.8481
1.828,8.501,11.846
1.828,8.5005,11.8439
1.8271,8.5019,11.8463
1.8274,8.5017,11.8457
1.8273,8.503,11.846
1.8276,8.5031,11.8455
1.8272,8.5021,11.8458
1.8269,8.5029,11.846
1.8269,8.5029,11.8465
1.8277,8.5024,11.8461
1.8274,8.503,11.8452
1.8273,8.5036,11.8455
1.8274,8.5047,11.8452
1.8274,8.5045,11.8454
1.8273,8.5043,11.8451
1.8273,8.5042,11.8448
1.8273,8.504,11.8444
